cpu_name;cores;cpu_mark;thread_mark;tdp;socket;category
Intel Core i7-4770T @ 2.50GHz;4;5973;1931;45;LGA1150;Desktop
Intel Core i7-4770TE @ 2.30GHz;4;4877;1653;45;LGA1150;Desktop
Intel Core i7-4771 @ 3.50GHz;4;7136;2193;84;LGA1150;Desktop
Intel Core i7-4785T @ 2.20GHz;4;5511;1765;35;FCLGA1150;Desktop
Intel Core i7-4790 @ 3.60GHz;4;7265;2233;84;FCLGA1150;Desktop
Intel Core i7-4790K @ 4.00GHz;4;8068;2464;88;LGA1150;Desktop
Intel Core i7-4790S @ 3.20GHz;4;7002;2207;65;LGA1150;Desktop
Intel Core i7-4790T @ 2.70GHz;4;6338;2084;45;LGA1150;Desktop
Intel Core i7-4800MQ @ 2.70GHz;4;5787;1933;47;rPGA946B;Laptop
Intel Core i7-4810MQ @ 2.80GHz;4;6058;2020;47;FCPGA946;Laptop
Intel Core i7-4820K @ 3.70GHz;4;6528;1962;130;FCLGA2011;Desktop
Intel Core i7-4850HQ @ 2.30GHz;4;6126;1934;47;FCBGA1364;Laptop
Intel Core i7-4860EQ @ 1.80GHz;4;5500;1754;47;FCBGA1364;Laptop
Intel Core i7-4860HQ @ 2.40GHz;4;6242;1893;47;FCBGA1364;Laptop
Intel Core i7-4870HQ @ 2.50GHz;4;6337;2056;47;FCBGA1364;Laptop
Intel Core i7-4900MQ @ 2.80GHz;4;6121;1986;47;FCPGA946;Laptop
Intel Core i7-4910MQ @ 2.90GHz;4;6312;2049;47;FCPGA946;Laptop
Intel Core i7-4930K @ 3.40GHz;6;9395;1964;130;LGA2011;Desktop
Intel Core i7-4930MX @ 3.00GHz;4;6419;2069;57;FCPGA946;Laptop
Intel Core i7-4940MX @ 3.10GHz;4;7089;2261;57;FPGA946,FPGA947;Laptop
Intel Core i7-4960HQ @ 2.60GHz;4;6483;2133;47;FCBGA1364;Laptop
Intel Core i7-4960X @ 3.60GHz;6;10080;2079;130;LGA2011;Desktop
Intel Core i7-4980HQ @ 2.80GHz;4;6547;2168;47;FCBGA1364;Laptop
Intel Core i7-5500U @ 2.40GHz;2;2778;1655;15;FCBGA1168;Laptop
Intel Core i7-5550U @ 2.00GHz;2;2864;1703;15;FCBGA1168;Laptop
Intel Core i7-5557U @ 3.10GHz;2;3070;1908;28;FCBGA1168;Laptop
Intel Core i7-5600U @ 2.60GHz;2;3031;1772;15;FCBGA1168;Laptop
Intel Core i7-5650U @ 2.20GHz;2;2998;1894;15;FCBGA1168;Laptop
Intel Core i7-5675C @ 3.10GHz;4;6089;2249;65;LGA1150;Desktop
Intel Core i7-5700EQ @ 2.60GHz;4;5803;2092;47;FCBGA1364;Laptop
Intel Core i7-5700HQ @ 2.70GHz;4;6042;2018;47;FCBGA1364;Laptop
Intel Core i7-5775C @ 3.30GHz;4;7713;2272;65;FCLGA1150;Desktop
Intel Core i7-5775R @ 3.30GHz;4;7596;2247;65;LGA1150;Desktop
Intel Core i7-5820K @ 3.30GHz;6;9852;2000;140;LGA2011-v3;Desktop
Intel Core i7-5850EQ @ 2.70GHz;4;7036;2119;47;FCBGA1364;Laptop
Intel Core i7-5850HQ @ 2.70GHz;4;6866;2219;47;FCBGA1364;Laptop
Intel Core i7-5930K @ 3.50GHz;6;10293;2043;140;LGA2011-v3;Desktop
Intel Core i7-5950HQ @ 2.90GHz;4;7696;2288;47;FCBGA1364;Laptop
Intel Core i7-5960X @ 3.00GHz;8;12725;1981;140;LGA2011-v3;Desktop
Intel Core i7-610E @ 2.53GHz;2;2071;1420;35;BGA1288;Laptop
Intel Core i7-620LM @ 2.00GHz;2;1440;1050;25;rPGA988A;Laptop
Intel Core i7-620M @ 2.67GHz;2;1987;1291;35;BGA1288;Laptop
Intel Core i7-620UM @ 1.07GHz;2;1010;820;18;BGA1288;Laptop
Intel Core i7-640LM @ 2.13GHz;2;1507;1038;25;BGA1288;Laptop
Intel Core i7-640M @ 2.80GHz;2;2079;1374;35;BGA1288;Laptop
Intel Core i7-640UM @ 1.20GHz;2;1183;879;18;BGA1288;Laptop
Intel Core i7-6498DU @ 2.50GHz;2;3454;1808;15;BGA1356;Laptop
Intel Core i7-6500U @ 2.50GHz;2;3278;1699;15;FCBGA1356;Laptop
Intel Core i7-6560U @ 2.20GHz;2;3338;1695;15;Unknown;Laptop
Intel Core i7-6567U @ 3.30GHz;2;3770;2080;28;FCBGA1356;Laptop
Intel Core i7-6600U @ 2.60GHz;2;3443;1802;15;FCBGA1356;Laptop
Intel Core i7-660UM @ 1.33GHz;2;1284;925;18;BGA1288;Laptop
Intel Core i7-6650U @ 2.20GHz;2;3602;1813;15;FCBGA1356;Laptop
Intel Core i7-6660U @ 2.40GHz;2;3549;1899;15;FCBGA1356;Laptop
Intel Core i7-6700 @ 3.40GHz;4;8095;2295;65;LGA 1151;Desktop
Intel Core i7-6700HQ @ 2.60GHz;4;6530;1913;45;FCBGA1440;Laptop
Intel Core i7-6700K @ 4.00GHz;4;8937;2506;95;LGA1151;Desktop
Intel Core i7-6700T @ 2.80GHz;4;7269;2080;35;LGA 1151;Desktop
Intel Core i7-6700TE @ 2.40GHz;4;6223;2003;35;LGA 1151;Desktop
Intel Core i7-6770HQ @ 2.60GHz;4;7097;1947;45;FCBGA1440;Laptop
Intel Core i7-6800K @ 3.40GHz;6;10754;2271;140;LGA2011-v3;Desktop
Intel Core i7-680UM @ 1.47GHz;2;1196;911;18;BGA1288;Laptop
Intel Core i7-6820EQ @ 2.80GHz;4;7001;1997;45;FCBGA1440;Laptop
Intel Core i7-6820HK @ 2.70GHz;4;7047;1990;45;FCBGA1440;Laptop
Intel Core i7-6820HQ @ 2.70GHz;4;6824;1956;45;FCBGA1440;Laptop
Intel Core i7-6822EQ @ 2.00GHz;4;5241;1572;25;LGA 1151;Laptop
Intel Core i7-6850K @ 3.60GHz;6;11465;2405;140;FCLGA2011-3;Desktop
Intel Core i7-6900K @ 3.20GHz;8;14583;2348;140;FCLGA2011-3;Desktop
Intel Core i7-6920HQ @ 2.90GHz;4;7312;2091;45;FCBGA1440;Laptop
Intel Core i7-6950X @ 3.00GHz;10;17466;2350;140;LGA2011-v3;Desktop
Intel Core i7-6970HQ @ 2.80GHz;4;4632;1532;45;FCBGA1440;Laptop
Intel Core i7-720QM @ 1.60GHz;4;1656;933;45;PGA988A;Laptop
Intel Core i7-740QM @ 1.73GHz;4;1824;1017;45;PGA988A;Laptop
Intel Core i7-7500U @ 2.70GHz;2;3652;1926;15;FCBGA1356;Laptop
Intel Core i7-7560U @ 2.40GHz;2;3773;1969;15;BGA1356;Laptop
Intel Core i7-7567U @ 3.50GHz;2;4143;2223;28;BGA1356;Laptop
Intel Core i7-7600U @ 2.80GHz;2;3733;2037;15;FCBGA1356;Laptop
Intel Core i7-7660U @ 2.50GHz;2;4071;2148;15;BGA1356;Laptop
Intel Core i7-7700 @ 3.60GHz;4;8661;2459;65;LGA1151;Desktop
Intel Core i7-7700HQ @ 2.80GHz;4;6924;2062;45;FCBGA1440;Laptop
Intel Core i7-7700K @ 4.20GHz;4;9655;2723;95;LGA 1151;Desktop
Intel Core i7-7700T @ 2.90GHz;4;7628;2156;35;FCLGA1151;Desktop
Intel Core i7-7740X @ 4.30GHz;4;9868;2754;112;FCLGA2066;Desktop
Intel Core i7-7800X @ 3.50GHz;6;12872;2392;140;FCLGA2066;Desktop
Intel Core i7-7820EQ @ 3.00GHz;4;7453;2207;45;FCBGA1440;Laptop
Intel Core i7-7820HK @ 2.90GHz;4;7407;2119;45;FCBGA1440;Laptop
Intel Core i7-7820HQ @ 2.90GHz;4;7172;2123;45;FCBGA1440;Laptop
Intel Core i7-7820X @ 3.60GHz;8;17232;2525;140;FCLGA2066;Desktop
Intel Core i7-7900X @ 3.30GHz;10;21008;2455;140;FCLGA2066;Desktop
Intel Core i7-7920HQ @ 3.10GHz;4;7405;2235;45;FCBGA1440;Laptop
Intel Core i7-7Y75 @ 1.30GHz;2;2615;1572;-1;FCBGA1515;Desktop, Laptop
Intel Core i7-8086K @ 4.00GHz;6;14330;2857;95;FCLGA1151-2;Desktop
Intel Core i7-820QM @ 1.73GHz;4;1774;1022;45;PGA988A;Laptop
Intel Core i7-840QM @ 1.87GHz;4;1937;1125;45;PGA988A;Laptop
Intel Core i7-8500Y @ 1.50GHz;2;2464;1453;5;FCBGA1515;Laptop
Intel Core i7-8550U @ 1.80GHz;4;5926;2056;15;FC-BGA1356;Laptop
Intel Core i7-8557U @ 1.70GHz;4;7498;2389;15;FCBGA1528;Laptop
Intel Core i7-8559U @ 2.70GHz;4;8486;2541;28;FCBGA1528;Laptop
Intel Core i7-8565U @ 1.80GHz;4;6114;2165;15;FCBGA1356;Laptop
Intel Core i7-8565UC @ 1.80GHz;4;6187;2527;15;FCBGA1528;Laptop
Intel Core i7-8569U @ 2.80GHz;4;8200;2572;28;FCBGA1528;Laptop
Intel Core i7-860 @ 2.80GHz;4;2981;1325;95;LGA1156;Desktop
Intel Core i7-860S @ 2.53GHz;4;2166;1044;82;LGA1156;Desktop
Intel Core i7-8650U @ 1.90GHz;4;6271;2131;15;FC-BGA1356;Laptop
Intel Core i7-8665U @ 1.90GHz;4;6249;2186;15;FCBGA1528;Laptop
Intel Core i7-8665UE @ 1.70GHz;4;5170;1621;15;FCBGA1528;Laptop
Intel Core i7-870 @ 2.93GHz;4;3116;1385;95;LGA1156;Desktop
Intel Core i7-8700 @ 3.20GHz;6;12878;2646;65;FCLGA1151-2;Desktop
Intel Core i7-8700B @ 3.20GHz;6;11972;2739;65;FCBGA1440;Laptop
Intel Core i7-8700K @ 3.70GHz;6;13666;2734;95;FCLGA1151-2;Desktop
Intel Core i7-8700T @ 2.40GHz;6;10218;2300;35;FCLGA1151-2;Desktop
Intel Core i7-8705G @ 3.10GHz;4;7680;2228;65;BGA2270;Laptop
Intel Core i7-8706G @ 3.10GHz;4;8095;2383;65;BGA2270;Laptop
Intel Core i7-8709G @ 3.10GHz;4;7926;2292;100;BGA2270;Laptop
Intel Core i7-870S @ 2.67GHz;4;2765;1493;82;LGA1156;Desktop
Intel Core i7-8750H @ 2.20GHz;6;9932;2299;45;FCBGA1440;Laptop
Intel Core i7-875K @ 2.93GHz;4;3110;1342;95;LGA1156;Desktop
Intel Core i7-880 @ 3.07GHz;4;3234;1414;95;LGA1156;Desktop
Intel Core i7-8809G @ 3.10GHz;4;8550;2390;100;BGA2270;Laptop
Intel Core i7-8850H @ 2.60GHz;6;10280;2392;45;FCBGA1440;Laptop
Intel Core i7-920 @ 2.67GHz;4;2828;1216;130;LGA1366;Desktop
Intel Core i7-920XM @ 2.00GHz;4;1885;993;55;PGA988B;Laptop
Intel Core i7-930 @ 2.80GHz;4;2962;1273;130;LGA1366;Desktop
Intel Core i7-940 @ 2.93GHz;4;2947;1310;130;LGA1366;Desktop
Intel Core i7-940XM @ 2.13GHz;4;2172;1094;55;PGA988;Laptop
Intel Core i7-950 @ 3.07GHz;4;3203;1381;130;LGA1366;Desktop
Intel Core i7-960 @ 3.20GHz;4;3336;1458;130;LGA1366;Desktop
Intel Core i7-965 @ 3.20GHz;4;3424;1475;130;LGA1366;Desktop
Intel Core i7-970 @ 3.20GHz;6;6561;1467;130;LGA1366;Desktop
Intel Core i7-9700 @ 3.00GHz;8;13227;2752;65;FCLGA1151-2;Desktop
Intel Core i7-9700E @ 2.60GHz;8;12911;2557;65;FCLGA1151-2;Desktop
Intel Core i7-9700F @ 3.00GHz;8;13267;2758;65;FCLGA1151-2;Desktop
Intel Core i7-9700K @ 3.60GHz;8;14484;2879;95;FCLGA1151-2;Desktop
Intel Core i7-9700KF @ 3.60GHz;8;14342;2887;95;FCLGA1151-2;Desktop
Intel Core i7-9700T @ 2.00GHz;8;10735;2430;35;FCLGA1151-2;Desktop
Intel Core i7-9700TE @ 1.80GHz;8;10280;2201;35;FCLGA1151-2;Desktop, Laptop
Intel Core i7-975 @ 3.33GHz;4;3461;1495;130;LGA1366;Desktop
Intel Core i7-9750H @ 2.60GHz;6;10908;2438;45;FCBGA1440;Laptop
Intel Core i7-9750HF @ 2.60GHz;6;10584;2427;45;FCBGA1440;Laptop
Intel Core i7-980 @ 3.33GHz;6;6926;1539;130;LGA1366;Desktop
Intel Core i7-9800X @ 3.80GHz;8;18078;2570;165;FCLGA2066;Desktop
Intel Core i7-980X @ 3.33GHz;6;6833;1531;130;LGA1366;Desktop
Intel Core i7-985 @ 3.47GHz;4;3928;1579;-1;LGA1366;Unknown
Intel Core i7-9850H @ 2.60GHz;6;11159;2509;45;Unknown;Laptop
Intel Core i7-9850HL @ 1.90GHz;6;9112;2139;25;FCBGA1440;Desktop, Laptop
Intel Core i7-990X @ 3.47GHz;6;7106;1579;130;LGA1366;Desktop
Intel Core i7-995X @ 3.60GHz;6;7862;1718;-1;Unknown;Desktop
Intel Core i9-10850K @ 3.60GHz;10;22474;3081;125;FCLGA1200;Desktop
Intel Core i9-10880H @ 2.30GHz;8;14642;2765;45;FCBGA1440;Laptop
Intel Core i9-10885H @ 2.40GHz;8;15172;2757;45;FCBGA1440;Laptop
Intel Core i9-10900 @ 2.80GHz;10;19912;3031;65;FCLGA1200;Desktop
Intel Core i9-10900E @ 2.80GHz;10;19595;2911;65;FCLGA1200;Desktop, Mobile/Embedded
Intel Core i9-10900F @ 2.80GHz;10;20097;3035;65;FCLGA1200;Desktop
Intel Core i9-10900K @ 3.70GHz;10;22984;3137;125;FCLGA1200;Desktop
Intel Core i9-10900KF @ 3.70GHz;10;22706;3124;125;FCLGA1200;Desktop
Intel Core i9-10900T @ 1.90GHz;10;15023;2454;35;FCLGA1200;Desktop
Intel Core i9-10900TE @ 1.80GHz;10;16914;2737;35;FCLGA1200;Mobile/Embedded
Intel Core i9-10900X @ 3.70GHz;10;22483;2683;165;FCLGA2066;Desktop
Intel Core i9-10910 @ 3.60GHz;10;21582;3165;125;FCLGA1200;Desktop
Intel Core i9-10920X @ 3.50GHz;12;26296;2728;165;FCLGA2066;Desktop
Intel Core i9-10940X @ 3.30GHz;14;27867;2671;165;FCLGA2066;Desktop
Intel Core i9-10980HK @ 2.40GHz;8;15598;2795;45;FCBGA1440;Laptop
Intel Core i9-10980XE @ 3.00GHz;18;32875;2651;165;FCLGA2066;Desktop
Intel Core i9-11900 @ 2.50GHz;8;22956;3436;65;FCLGA1200;Desktop
Intel Core i9-11900F @ 2.50GHz;8;22585;3421;65;FCLGA1200;Desktop
Intel Core i9-11900H @ 2.50GHz;8;20672;3136;45;FCBGA1787;Laptop
Intel Core i9-11900K @ 3.50GHz;8;25347;3521;125;FCLGA1200;Desktop
Intel Core i9-11900KB @ 3.30GHz;8;22901;3304;65;FCBGA1787;Desktop
Intel Core i9-11900KF @ 3.50GHz;8;25262;3557;125;FCLGA1200;Desktop
Intel Core i9-11900T @ 1.50GHz;8;18968;3326;35;FCLGA1200;Desktop
Intel Core i9-11950H @ 2.60GHz;8;21419;3202;45;FCBGA1787;Laptop
Intel Core i9-11980HK @ 2.60GHz;8;22894;3286;45;FCBGA1787;Laptop
Intel Core i9-12900;16;34353;4050;65;FCLGA1700;Desktop
Intel Core i9-12900E;16;25921;3455;65;FCLGA1700;Mobile/Embedded
Intel Core i9-12900F;16;36957;4072;65;FCLGA1700;Desktop
Intel Core i9-12900H;14;28261;3811;45;FCBGA1744;Laptop
Intel Core i9-12900HK;14;27982;3681;45;FCBGA1744;Laptop
Intel Core i9-12900HX;16;34603;3872;55;FCBGA1964;Laptop
Intel Core i9-12900K;16;41363;4175;241;FCLGA1700;Desktop
Intel Core i9-12900KF;16;41178;4169;241;FCLGA1700;Desktop
Intel Core i9-12900KS;16;44172;4354;150;LGA 1700;Desktop
Intel Core i9-12900T;16;30113;3818;35;FCLGA1700;Desktop
Intel Core i9-12900TE;16;35057;3926;35;FCLGA1700;Mobile/Embedded
Intel Core i9-12950HX;16;32524;3829;55;FCBGA1964;Laptop
Intel Core i9-13900;24;48133;4344;65;FCLGA1700;Desktop
Intel Core i9-13900E;24;34049;3592;65;FCLGA1700;Mobile/Embedded
Intel Core i9-13900F;24;52027;4448;65;FCLGA1700;Desktop
Intel Core i9-13900H;14;29355;3872;45;FCBGA1744;Laptop
Intel Core i9-13900HK;14;31303;3966;45;FCBGA1744;Laptop
Intel Core i9-13900HX;24;44621;4163;55;FCBGA1964;Laptop
Intel Core i9-13900K;24;59410;4641;125;FCLGA1700;Desktop
Intel Core i9-13900KF;24;58647;4629;125;FCLGA1700;Desktop
Intel Core i9-13900KS;24;61851;4762;150;FCLGA1700;Desktop
Intel Core i9-13900T;24;44130;4247;35;FCLGA1700;Desktop
Intel Core i9-13900TE;24;15819;2209;35;FCLGA1700;Mobile/Embedded
Intel Core i9-13905H;14;31165;3711;45;FCBGA1792;Laptop
Intel Core i9-13950HX;24;44545;4063;55;FCBGA1964;Laptop
Intel Core i9-13980HX;24;47735;4325;55;FCBGA1964;Laptop
Intel Core i9-14900;24;52447;4653;65;FCLGA1700;Desktop
Intel Core i9-14900F;24;56990;4669;219;FCLGA1700;Desktop
Intel Core i9-14900HX;24;46690;4364;55;FCBGA1964;Laptop
Intel Core i9-14900K;24;61082;4774;125;FCLGA1700;Desktop
Intel Core i9-14900KF;24;60141;4717;125;FCLGA1700;Desktop
Intel Core i9-14900T;24;43527;4412;35;FCLGA1700;Desktop
Intel Core i9-7900X @ 3.30GHz;10;21209;2568;140;FCLGA2066;Desktop
Intel Core i9-7920X @ 2.90GHz;12;23616;2506;140;FCLGA2066;Desktop
Intel Core i9-7940X @ 3.10GHz;14;25964;2491;165;FCLGA2066;Desktop
Intel Core i9-7960X @ 2.80GHz;16;28754;2504;165;FCLGA2066;Desktop
Intel Core i9-7980XE @ 2.60GHz;18;30237;2488;165;FCLGA2066;Desktop
Intel Core i9-8950HK @ 2.90GHz;6;10567;2446;45;FCBGA1440;Laptop
Intel Core i9-9820X @ 3.30GHz;10;20045;2453;165;FCLGA2066;Desktop
Intel Core i9-9880H @ 2.30GHz;8;13843;2530;45;FCBGA1440;Laptop
Intel Core i9-9900 @ 3.10GHz;8;16566;2836;65;FCLGA1151-2;Desktop
Intel Core i9-9900K @ 3.60GHz;8;18340;2933;95;FCLGA1151-2;Desktop
Intel Core i9-9900KF @ 3.60GHz;8;18324;2935;95;FCLGA1151-2;Desktop
Intel Core i9-9900KS @ 4.00GHz;8;19516;3038;127;FCLGA1151-2;Desktop
Intel Core i9-9900T @ 2.10GHz;8;13224;2458;35;FCLGA1151-2;Desktop
Intel Core i9-9900X @ 3.50GHz;10;21805;2567;165;FCLGA2066;Desktop
Intel Core i9-9920X @ 3.50GHz;12;25216;2632;165;FCLGA2066;Desktop
Intel Core i9-9940X @ 3.30GHz;14;28059;2631;165;FCLGA2066;Desktop
Intel Core i9-9960X @ 3.10GHz;16;30638;2619;165;FCLGA2066;Desktop
Intel Core i9-9980HK @ 2.40GHz;8;14123;2528;45;FCBGA1440;Laptop
Intel Core i9-9980XE @ 3.00GHz;18;32054;2563;165;FCLGA2066;Desktop
Intel Core i9-9990XE @ 4.00GHz;14;30162;2970;255;LGA2066;Desktop
Intel Core M-5Y10 @ 0.80GHz;2;1628;955;-1;Unknown;Laptop
Intel Core M-5Y10a @ 0.80GHz;2;1905;993;-1;FCBGA1234;Laptop
Intel Core M-5Y10c @ 0.80GHz;2;1891;1123;-1;FCBGA1234;Laptop
Intel Core M-5Y31 @ 0.90GHz;2;1916;1261;-1;FCBGA1234;Laptop
Intel Core M-5Y51 @ 1.10GHz;2;2043;1345;-1;FCBGA1234;Laptop
Intel Core M-5Y70 @ 1.10GHz;2;1823;1081;-1;BGA1234;Laptop
Intel Core M-5Y71 @ 1.20GHz;2;2025;1274;-1;FCBGA1234;Laptop
Intel Core m3-6Y30 @ 0.90GHz;2;2163;1168;-1;FCBGA1515;Laptop
Intel Core m3-7Y30 @ 1.00GHz;2;2578;1399;-1;FCBGA1515;Laptop
Intel Core m3-7Y32 @ 1.10GHz;2;2710;1613;-1;FCBGA1515;Laptop
Intel Core m3-8100Y @ 1.10GHz;2;2866;1719;5;FCBGA1515;Laptop
Intel Core m5-6Y54 @ 1.10GHz;2;2291;1309;7;FCBGA1515;Laptop
Intel Core m5-6Y57 @ 1.10GHz;2;2337;1329;7;FCBGA1515;Laptop
Intel Core m5-7Y54 @ 1.20GHz;2;1475;746;-1;Unknown;Unknown
Intel Core m7-6Y75 @ 1.20GHz;2;2311;1347;7;FCBGA1515;Laptop
Intel Core Solo T1300 @ 1.66GHz;1;210;518;27;PGA478;Laptop
Intel Core Solo T1350 @ 1.86GHz;1;194;413;31;Unknown;Laptop
Intel Core Solo T1400 @ 1.83GHz;1;253;525;27;PGA478;Laptop
Intel Core Solo U1300 @ 1.06GHz;1;127;340;6;PBGA479;Laptop
Intel Core Solo U1400 @ 1.20GHz;1;130;365;-1;PBGA479;Laptop
Intel Core Solo U1500 @ 1.33GHz;1;164;375;-1;Unknown;Laptop
Intel Core Ultra 5 125H;14;21031;3529;28;FCBGA2049;Laptop
Intel Core Ultra 5 125U;12;18752;3499;57;FCBGA2049;Laptop
Intel Core Ultra 5 135H;14;24276;3665;28;FCBGA2049;Laptop
Intel Core Ultra 5 135U;12;20232;3599;28;Unknown;Laptop
Intel Core Ultra 7 155H;16;24100;3518;28;Unknown;Laptop
Intel Core Ultra 7 165H;16;30596;3909;28;FCBGA2049;Laptop
Intel Core Ultra 7 165U;12;16756;3610;15;Unknown;Laptop
Intel Core Ultra 9 185H;16;27095;3742;45;FCBGA2049;Laptop
Intel Core2 Duo E4300 @ 1.80GHz;2;593;662;65;LGA775;Desktop
Intel Core2 Duo E4400 @ 2.00GHz;2;673;771;65;LGA775;Desktop
Intel Core2 Duo E4500 @ 2.20GHz;2;746;831;65;LGA775;Desktop
Intel Core2 Duo E4600 @ 2.40GHz;2;862;935;65;LGA775;Desktop
Intel Core2 Duo E4700 @ 2.60GHz;2;862;975;65;LGA775;Desktop
Intel Core2 Duo E6300 @ 1.86GHz;2;638;698;65;LGA775, PLGA775;Desktop
Intel Core2 Duo E6320 @ 1.86GHz;2;717;712;65;PLGA775;Desktop
Intel Core2 Duo E6400 @ 2.13GHz;2;772;824;65;LGA775;Desktop
Intel Core2 Duo E6420 @ 2.13GHz;2;760;785;65;PLGA775;Desktop
Intel Core2 Duo E6540 @ 2.33GHz;2;808;969;65;LGA775;Desktop
Intel Core2 Duo E6550 @ 2.33GHz;2;889;906;65;LGA775;Desktop
Intel Core2 Duo E6600 @ 2.40GHz;2;939;948;65;PLGA775;Desktop
Intel Core2 Duo E6700 @ 2.66GHz;2;990;1023;65;LGA775;Desktop
Intel Core2 Duo E6750 @ 2.66GHz;2;1013;1034;65;LGA775;Desktop
Intel Core2 Duo E6850 @ 3.00GHz;2;1118;1180;65;LGA775;Desktop
Intel Core2 Duo E7200 @ 2.53GHz;2;1001;1061;65;LGA775;Desktop
Intel Core2 Duo E7300 @ 2.66GHz;2;963;1073;65;LGA775;Desktop
Intel Core2 Duo E7400 @ 2.80GHz;2;1017;1111;65;LGA775;Desktop
Intel Core2 Duo E7500 @ 2.93GHz;2;1132;1206;65;LGA775;Desktop
Intel Core2 Duo E7600 @ 3.06GHz;2;1159;1259;65;LGA775;Desktop
Intel Core2 Duo E8135 @ 2.40GHz;2;973;1028;-1;Unknown;Unknown
Intel Core2 Duo E8135 @ 2.66GHz;2;1112;1127;-1;Socket P;Laptop
Intel Core2 Duo E8200 @ 2.66GHz;2;1108;1144;65;LGA775;Desktop
Intel Core2 Duo E8235 @ 2.80GHz;2;1020;1112;-1;Socket P;Laptop
Intel Core2 Duo E8290 @ 2.83GHz;2;1408;1302;65;LGA775;Unknown
Intel Core2 Duo E8300 @ 2.83GHz;2;997;1075;65;LGA775;Desktop
Intel Core2 Duo E8335 @ 2.66GHz;2;1057;1157;-1;Socket P;Laptop
Intel Core2 Duo E8335 @ 2.93GHz;2;975;1104;-1;Socket P;Laptop
Intel Core2 Duo E8400 @ 3.00GHz;2;1197;1237;65;LGA775;Desktop
Intel Core2 Duo E8435 @ 3.06GHz;2;1104;1223;-1;Socket P;Laptop
Intel Core2 Duo E8500 @ 3.16GHz;2;1258;1320;65;LGA775;Desktop
Intel Core2 Duo E8600 @ 3.33GHz;2;1370;1399;65;LGA775;Desktop
Intel Core2 Duo L7100 @ 1.20GHz;2;467;484;-1;BGA956;Laptop
Intel Core2 Duo L7300 @ 1.40GHz;2;513;541;17;BGA479;Laptop
Intel Core2 Duo L7400 @ 1.50GHz;2;516;555;17;BGA479;Laptop
Intel Core2 Duo L7500 @ 1.60GHz;2;641;646;17;BGA479;Laptop
Intel Core2 Duo L7700 @ 1.80GHz;2;607;748;17;Unknown;Laptop
Intel Core2 Duo L7800 @ 2.00GHz;2;680;622;-1;Unknown;Unknown
Intel Core2 Duo L9300 @ 1.60GHz;2;690;703;17;BGA956;Laptop
Intel Core2 Duo L9600 @ 2.13GHz;2;788;849;17;BGA956;Laptop
Intel Core2 Duo P7350 @ 2.00GHz;2;766;802;25;BGA479;Laptop
Intel Core2 Duo P7370 @ 2.00GHz;2;790;793;25;PGA478;Laptop
Intel Core2 Duo P7450 @ 2.13GHz;2;792;837;25;PGA478;Laptop
Intel Core2 Duo P7550 @ 2.26GHz;2;865;977;25;PGA478;Laptop
Intel Core2 Duo P7570 @ 2.26GHz;2;845;930;25;PGA478;Laptop
Intel Core2 Duo P8400 @ 2.26GHz;2;841;918;25;BGA479;Laptop
Intel Core2 Duo P8600 @ 2.40GHz;2;853;945;25;BGA479;Laptop
Intel Core2 Duo P8700 @ 2.53GHz;2;975;1039;25;BGA479;Laptop
Intel Core2 Duo P8800 @ 2.66GHz;2;949;1085;25;BGA479;Laptop
Intel Core2 Duo P9300 @ 2.26GHz;2;952;950;-1;Unknown;Laptop
Intel Core2 Duo P9500 @ 2.53GHz;2;993;1057;25;BGA479;Laptop
Intel Core2 Duo P9600 @ 2.53GHz;2;1040;1082;25;PGA478;Laptop
Intel Core2 Duo P9600 @ 2.66GHz;2;1086;1117;25;PGA478;Laptop
Intel Core2 Duo P9700 @ 2.80GHz;2;1131;1144;28;PGA478;Laptop
Intel Core2 Duo SL9400 @ 1.86GHz;2;761;793;17;BGA956;Laptop
Intel Core2 Duo SP9400 @ 2.40GHz;2;855;921;25;BGA956;Laptop
Intel Core2 Duo SU9400 @ 1.40GHz;2;520;589;10;BGA956;Laptop
Intel Core2 Duo T5200 @ 1.60GHz;2;459;579;34;Socket M;Laptop
Intel Core2 Duo T5250 @ 1.50GHz;2;552;571;35;PGA478;Laptop
Intel Core2 Duo T5270 @ 1.40GHz;2;427;535;35;PGA478;Laptop
Intel Core2 Duo T5300 @ 1.73GHz;2;530;533;34;PGA478;Laptop
Intel Core2 Duo T5450 @ 1.66GHz;2;578;598;35;PGA478;Laptop
Intel Core2 Duo T5470 @ 1.60GHz;2;590;636;35;PGA478;Laptop
Intel Core2 Duo T5500 @ 1.66GHz;2;514;592;34;PGA478;Laptop
Intel Core2 Duo T5550 @ 1.83GHz;2;632;679;35;PGA478;Laptop
Intel Core2 Duo T5600 @ 1.83GHz;2;657;686;34;PGA478;Laptop
Intel Core2 Duo T5670 @ 1.80GHz;2;577;657;35;Socket P;Laptop
Intel Core2 Duo T5750 @ 2.00GHz;2;693;741;35;Socket P;Laptop
Intel Core2 Duo T5800 @ 2.00GHz;2;628;725;35;PGA478;Laptop
Intel Core2 Duo T5850 @ 2.16GHz;2;687;787;-1;Socket P;Laptop
Intel Core2 Duo T5870 @ 2.00GHz;2;698;740;35;PPGA478, Socket;Laptop
Intel Core2 Duo T5900 @ 2.20GHz;2;652;768;-1;Socket P;Laptop
Intel Core2 Duo T6400 @ 2.00GHz;2;724;796;35;PGA478;Laptop
